"title","full_address","email","affiliations","type","established","phone"
"Ace Institute of Management","Bibhuti Janak Marg, New Baneshwor, Kathmandu","ace@ace.edu.np","Pokhara University, Cambridge GCE A Levels","Private","1999 AD","01-5970178"
"Kathford International College of Engineering and Management","Balkumari, Lalitpur","admission@kathford.edu.np","Tribhuvan University","Private","2003 AD","01-5201241, 01-5201911"
"Techspire College","New Baneshwor, Kathmandu","info@techspire.edu.np","Asia Pacific University of Technology & Innovation","Private","2000","01-5916307"
"Texas College of Management and IT","Siphal, Kathmandu","inquiry@texascollege.edu.np","Lincoln University College","Private","2009","01-4589134, 01-4588627"
"Softwarica College of IT and E-commerce","Dillibazar, Kathmandu","hello@softwarica.edu.np","Coventry University, UK","Private","2010 AD","01-4441577, 01-4425661"
"National College of Management and Technical Science (NCMT College)","Samakhusi, Ranibari, Kathmandu","info@ncmtcollege.edu.np","Lincoln University College","Private","2013 A.D.","014986217, 014952831"
"School of Arts, Sciences, & Technology (SAST)","Trishakti Marg, Lazimpat, Kathmandu","info@unepal.edu.np","University of Nepal (UNepal)","Public","N/A","977-1-5914588"
"Thames International College","Surya Bikram Gyawali Marg, Old Baneshwor, Kathmandu","info@thamescollege.edu.np","Tribhuvan University","Private","N/A","01-5971224"
"People's Campus","Paknajol, Kathmandu","info@peoplescampus.edu.np","National Examinations Board, Tribhuvan University","Community","2038 BS","01-4251412, 01-4251990"
"Embark College","Yala Sadak, Pulchowk-10, Lalitpur","info@embarkcollege.edu.np","ACCA, University of Roehampton","Private","2024 A.D.","01-5970793, 9705970793"
"Global College of Management","Mid-Baneshwor, Kathmandu","info@globalcollege.edu.np","National Examinations Board, Tribhuvan University","Private","N/A","01-5970316"
"King's College","Babar Mahal, Kathmandu","info@kingscollege.edu.np","Westcliff University, CA, USA","Private","N/A","01-5325909, 01-5324520, 015324574"
"Janamaitri Campus","Kuleshwor, Kathmandu","info@janamaitri.edu.np","Bagmati University","Community","2047 BS","015377202"
"Texas International College","Mitrapark, Chabahil, Kathmandu","enquiry@texasintl.edu.np","Tribhuvan University","Private","2009 AD","01-4579017, 01-4490670, 01-4488627"
"Kantipur College of Management and Information Technology","Mid Baneshwor, Kathmandu","kcmitcollege@kcmit.edu.np","Tribhuvan University","Private","2000 A.D","01-4579939"
"NCTTM - IST College","Gyaneshwor, Opposite to German Embassy, Kathmandu","info@ist.org.np","Tribhuvan University","Private","2004 AD","01-4534350, 01-4534185, 01-4540930, 01-4517393"
"Nepal College of Information Technology (NCIT)","Balkumari, Lalitpur","info@ncit.edu.np","Pokhara University","Private","2001 A.D.","01-5186354, 01-5186358, 01-5186360"
"KFA Business School","Mid Baneshwor, Kathmandu","admissions@kfaltd.com","Lincoln University College","Private","2009 AD","01-4591414"
"Presidential Graduate School","Thapagaun, New Baneshwor, Kathmandu","info@presidential.edu.np","Westcliff University, CA, USA","Private","2011 AD","9851343705, 9767658631"
"KIST College & SS","Kamalpokhari, Kathmandu","info@kist.edu.np","National Examinations Board, Tribhuvan University, Purbanchal University","Private","1995 AD","01-4534990, 01-4534178"
"New Summit College","Shantinagar Gate, New Baneshwor, Kathmandu","info@newsummit.edu.np","Tribhuvan University","Private","2064 BS","01-4620522, 4620523, 4620524"
"PCPS College","Kandevsthan, Kupondole, Lalitpur","connect@patancollege.org","University of Bedfordshire","Private","1998 AD","01-5181033, +977 984-1264903"
"National College (Kathmandu University)","Pragati Tole, Dhumbarahi, Kathmandu","info@nationalcollege.edu.np","Kathmandu University","Private","1996 AD","+977-01-4520871, 01-4543511"
"Global College International","Mid-Baneshwor, Kathmandu","info@gci.edu.np","Mid-West University","Private","2009 AD","01-5970319"
"NIST Higher Education","Lainchour, Kathmandu","info@nacolnist.edu.np","Tribhuvan University","Private","1998","+977-1-4964068, +977-1-4960509"
"GATE - Global Academy of Tourism and Hospitality Education","Mandikhatar, Budhanilakantha, Kathmandu","info@gate.edu.np","Ecole hôtelière de Lausanne, Kathmandu University","Private","2007 AD","01-4650176"
"Public Youth Campus","Dhobichaur, Kathmandu","info@pyc.edu.np","Tribhuvan University","Public","1958 AD","01-5351207, 01-5365099, 9851326760"
"Prime College","Naya Bazar, Khusibu, Kathmandu","info@prime.edu.np","Tribhuvan University","Private","N/A","01-4361690, 01-4970072"
"Herald International College","Basundhara, Kathmandu","heraldintcollege@gmail.com","National Examinations Board","Private","2063 B.S.","01-4389476, 01-4389375"
"Kathmandu Don Bosco College","Lazimpat, (North to Hotel Radisson), Kathmandu","info@kdbc.edu.np","Purbanchal University","Private","2000 AD","01- 4534254"
"Atharva Business College","Bansbari (Near Australian Embassy), Maharajgunj, Kathmandu","atharvabusinesscollege@gmail.com","Pokhara University","Private","2013 AD","01-4372966"
"Academia International College","Gwarko Chowk, Lalitpur","mail@academiacollege.edu.np","Tribhuvan University","Private","2011 A.D","01-5525393, 01-5543037, 01- 5520553, 9861888137"
"Kantipur Engineering College","Dhapakhel, Lalitpur","admin@kec.edu.np","Tribhuvan University","Private","1998 AD","01-5229204, 01-5229005, 01-5229274"
"Himalayan WhiteHouse International College","Ramshahpath, Putalisadak, Kathmandu","N/A","Purbanchal University","Private","2001 A.D.","01-5322688, 01-5322718, 9805691175"
"Nepal Mega College","Babarmahal, Kathmandu","info@nepalmegacollege.edu.np","National Examinations Board, Tribhuvan University, Rajarshi Janak University","Private","2011","01-5705488, 01-5706450"
"Nesfield International College","Gyan Griha, Batukbhairabsthan, Lagankhel, Lalitpur","info@nesfield.edu.np","Tribhuvan University","Private","2007 AD","01-5425125, 5425330"
"Nami College","Jorpati, Gokarneshwar, Kathmandu","info@nami.edu.np","Cambridge GCE A Levels","Private","2013 A.D.","+977 1 4917444, +977 1 4917441"
"The British College","Trade Tower, Thapathali, Kathmandu","info@thebritishcollege.edu.np","ACCA, Cambridge GCE A Levels, Leeds Beckett University, UK, University of the West of England, UK","Private","2011 AD","015970003, 9823576995"
"Mid-Valley International College","Gyaneshwor, Kathmandu","info@midvalley.edu.np","EuroSkills Technical & Vocational Academy, HELP University","Private","2011 AD","01-4435188, 01-4537188"
"Acme Engineering College","Basundhara, Kathmandu","acme@acme.edu.np","Purbanchal University","Private","2000 A.D","01-5382962, 01-5380445, 01-5670924, 01-5670925, 9841470160"
"IIMS College","Naxal, Bhagwatibahal, Kathmandu","info@iimsnepal.edu.np","Taylor's University, Malaysia","Private","2010","01-4537318, 01-4536383"
"Cosmos College of Management and Technology","Sitapaila, Meseum Marga, Kathmandu","info@cosmoscollege.edu.np","Pokhara University","Private","2001 AD","01-5970000, 01-5151411, 01-5151704"
"Liberty College","Pragati Marg-2, Anamnagar, Kathmandu","info@libertycollege.edu.np","Pokhara University","Private","2009 AD","01-5706612, 01-5705386"
